customer_id,first_name,last_name,email,phone,country,city,state,postal_code,loyalty_member,registration_date,created_at
1,Melissa,Peterson,melissa.peterson873@yahoo.com,12058203965,United States,Pasadena,California,91109,0,2025-05-09,2025-12-24 20:51:43
2,Roy,Poole,roy.poole320@gmail.com,12063217178,Canada,Surrey Northeast,British Columbia,V4N,0,2024-02-08,2025-12-24 20:51:43
3,Roy,Lee,roy.lee484@protonmail.com,449079737924,United Kingdom,Breadstone,England,GL13,0,2024-02-18,2025-12-24 20:51:43
4,Luca,Thomas,luca.thomas768@hotmail.com,496452580035,Germany,Remchingen,Baden-Württemberg,75196,0,2024-04-20,2025-12-24 20:51:43
5,Michel,Leroux,michel.leroux971@hotmail.com,338192641299,France,Carcans,Nouvelle-Aquitaine,33121,1,2025-03-30,2025-12-24 20:51:43
6,Victoria,Mason,victoria.mason223@icloud.com,611937711172,Australia,O'Connor,Western Australia,6163,1,2025-02-19,2025-12-24 20:51:43
7,Chiyo,Saito,chiyo.saito116@outlook.com,819151760443,Japan,Funae,Mie Ken,516-8512,1,2025-10-03,2025-12-24 20:51:43
8,Rogerio,Barbosa,rogerio.barbosa662@icloud.com,554273894594,Brazil,Cerro Grande,Rio Grande do Sul,98340-000,0,2024-08-24,2025-12-24 20:51:43
9,Gerardo,Ochoa,gerardo.ochoa847@icloud.com,529727220221,Mexico,Ampliación Romero Sección Las Fuentes,México,57600,0,2024-09-29,2025-12-24 20:51:43
10,Maria,Romano,maria.romano611@gmail.com,394641219816,Italy,Rocca D'Evandro,Campania,81040,0,2025-07-19,2025-12-24 20:51:43
11,Virtudes,Gallardo,virtudes.gallardo775@outlook.com,346677090408,Spain,Betan,Galicia,32704,0,2024-12-16,2025-12-24 20:51:43
12,Diederick,van de Ven,diederick.van de ven672@hotmail.com,319038791849,Netherlands,Emst,Guelders,8166,1,2025-05-26,2025-12-24 20:51:43
13,Nicole,Freeman,nicole.freeman862@outlook.com,15861036378,United States,Reading,Pennsylvania,19605,0,2024-12-04,2025-12-24 20:51:43
14,Heather,Jenkins,heather.jenkins299@outlook.com,18206499468,Canada,Camrose,Alberta,T4V,1,2025-11-20,2025-12-24 20:51:43
15,Zoe,Ellis,zoe.ellis363@hotmail.com,449836972844,United Kingdom,Bruntingthorpe,England,LE17,0,2025-12-16,2025-12-24 20:51:43
16,Nele,Becker,nele.becker861@icloud.com,493661021499,Germany,Monsheim,Rheinland-Pfalz,67590,1,2024-05-15,2025-12-24 20:51:43
17,Serge,Lambert,serge.lambert753@outlook.com,331541257440,France,Montbrison,Auvergne-Rhône-Alpes,42604 CEDEX,1,2024-11-04,2025-12-24 20:51:43
18,Emily,Murphy,emily.murphy992@gmail.com,613120503773,Australia,Tecoma,Victoria,3160,1,2024-09-08,2025-12-24 20:51:43
19,Takuma,Kojima,takuma.kojima837@icloud.com,812001545345,Japan,Hatsunecho,Gifu Ken,500-8062,1,2025-12-18,2025-12-24 20:51:43
20,Felipe,de Souza,felipe.de souza236@gmail.com,557217648580,Brazil,Anamã,Amazonas,69445-000,0,2025-10-26,2025-12-24 20:51:43
21,Pablo,González,pablo.gonzález425@gmail.com,521909439977,Mexico,Tecanahua,Veracruz de Ignacio de la Llave,92686,1,2025-05-01,2025-12-24 20:51:43
22,Greta,Masini,greta.masini889@hotmail.com,396904832091,Italy,Casabasciana,Toscana,55022,0,2025-11-01,2025-12-24 20:51:43
23,Hugo,Rubio,hugo.rubio765@protonmail.com,349914376507,Spain,Las Casillas,Cantabria,39770,1,2024-09-12,2025-12-24 20:51:43
24,Naomi,van Dalen,naomi.van dalen430@yahoo.com,319567455294,Netherlands,Reahûs,Friesland,8736,1,2025-06-28,2025-12-24 20:51:43
25,Nolan,Foster,nolan.foster200@gmail.com,12616545512,United States,Trenton,New Jersey,08695,1,2024-04-12,2025-12-24 20:51:43
26,Alicia,Stewart,alicia.stewart583@gmail.com,19955723920,Canada,Vancouver,British Columbia,V5N,1,2024-12-30,2025-12-24 20:51:43
27,Daisy,Bell,daisy.bell290@icloud.com,442817661920,United Kingdom,Milton,Scotland,PH8,0,2024-06-30,2025-12-24 20:51:43
28,Claudia,Richter,claudia.richter944@protonmail.com,498738812420,Germany,Lübeck,Schleswig-Holstein,23564,0,2024-10-11,2025-12-24 20:51:43
29,Laetitia,Hubert,laetitia.hubert775@yahoo.com,336350042386,France,Le Gallet,Hauts-de-France,60360,0,2025-02-04,2025-12-24 20:51:43
30,George,Cameron,george.cameron571@outlook.com,615634620837,Australia,Tara,Northern Territory,0872,0,2025-09-24,2025-12-24 20:51:43
31,Yasuko,Inoue,yasuko.inoue993@protonmail.com,816045133628,Japan,Uchisange,Okayama Ken,700-8512,0,2024-12-31,2025-12-24 20:51:43
32,Alice,Pinheiro,alice.pinheiro945@outlook.com,555740060875,Brazil,São João do Cariri,Paraiba,58590-000,0,2025-09-12,2025-12-24 20:51:43
33,Iván,Medina,iván.medina891@gmail.com,524086118652,Mexico,Mariposa Residencial,Sonora,83556,1,2024-02-09,2025-12-24 20:51:43
34,Corrado,Pepe,corrado.pepe549@protonmail.com,393248836290,Italy,Ceresane,Piemonte,13888,0,2025-09-18,2025-12-24 20:51:43
35,Luisa,Soto,luisa.soto843@icloud.com,344144847600,Spain,Rodellar,Aragon,22144,0,2023-12-28,2025-12-24 20:51:43
36,Anouk,van der Horst,anouk.van der horst656@icloud.com,311082257714,Netherlands,Nijeveen,Drenthe,7948,0,2024-07-14,2025-12-24 20:51:43
37,Hunter,Cole,hunter.cole228@protonmail.com,15230848960,United States,Chattanooga,Tennessee,37450,0,2025-07-02,2025-12-24 20:51:43
38,Betty,Pena,betty.pena511@icloud.com,14318367635,Canada,Listowel,Ontario,N4W,0,2025-01-03,2025-12-24 20:51:43
39,Daniel,Reid,daniel.reid65@outlook.com,449290699119,United Kingdom,Portavogie,Northern Ireland,BT22,0,2024-03-02,2025-12-24 20:51:43
40,Gustav,Engel,gustav.engel128@gmail.com,493190536575,Germany,Großhartmannsdorf,Sachsen,09618,1,2024-01-02,2025-12-24 20:51:43
41,Marcel,Meunier,marcel.meunier546@protonmail.com,337409096110,France,Crans,Bourgogne-Franche-Comté,39300,1,2025-11-12,2025-12-24 20:51:43
42,Dominic,Fisher,dominic.fisher513@outlook.com,613946262778,Australia,Milkers Flat,New South Wales,2795,0,2025-03-19,2025-12-24 20:51:43
43,Hiroko,Ueno,hiroko.ueno459@icloud.com,819378517273,Japan,Suetomo,Toyama Ken,932-8528,0,2024-03-27,2025-12-24 20:51:43
44,Edison,Cardoso,edison.cardoso136@protonmail.com,555585735470,Brazil,Sales Oliveira,Sao Paulo,14660-000,0,2024-07-04,2025-12-24 20:51:43
45,Ulises,Ávila,ulises.ávila725@outlook.com,529751303521,Mexico,Pedernales,Michoacán de Ocampo,61670,0,2024-11-02,2025-12-24 20:51:43
